Tweet,Keyword,tweet_lowercase
"Signs of fighting after Russia says unilateral truce comes into force in Ukraine Rockets slammed into a residential building in the Ukrainian city of Kramatorsk close to the eastern frontline, damaging 14 homes but with no casualties, the mayor said. ",casualties,"signs of fighting after russia says unilateral truce comes into force in ukraine rockets slammed into a residential building in the ukrainian city of kramatorsk close to the eastern frontline, damaging 14 homes but with no casualties, the mayor said. "
"Ukraine, Russia locked in brutal battle in Bakhmut, casualties mount Analysts expect a Ukrainian counter-offensive to begin in earnest over April-May when the weather improves and more military aid arrives, including heavy Leopard and Challenger tanks. ",casualties,"ukraine, russia locked in brutal battle in bakhmut, casualties mount analysts expect a ukrainian counter-offensive to begin in earnest over april-may when the weather improves and more military aid arrives, including heavy leopard and challenger tanks. "
Kailali and Birgunj have the highest number of protest casualties.  ,casualties,kailali and birgunj have the highest number of protest casualties.  
"Landslide buries 7 houses in Ri village, Dhading No reports of human casualties #KathmanduPost ",casualties,"landslide buries 7 houses in ri village, dhading no reports of human casualties #kathmandupost "
"#Breaking: Explosion at kebab shop near mosque in eastern France, no casualties: officials #ParisShooting",casualties,"#breaking: explosion at kebab shop near mosque in eastern france, no casualties: officials #parisshooting"
"Businesses become casualties of coronavirus The pandemic has devastated small and medium firms, robbing thousands of livelihoods.  — by @journoprithvi",casualties,"businesses become casualties of coronavirus the pandemic has devastated small and medium firms, robbing thousands of livelihoods.  — by @journoprithvi"
"Major earthquake in Haiti felt across Caribbean, high casualties expected ",casualties,"major earthquake in haiti felt across caribbean, high casualties expected "
"Ukraine, Russia say hundreds of enemy troops killed in battle for Bakhmut Both sides have admitted to suffering and inflicting significant losses in Bakhmut, while the exact number of casualties is difficult to independently verify. ",casualties,"ukraine, russia say hundreds of enemy troops killed in battle for bakhmut both sides have admitted to suffering and inflicting significant losses in bakhmut, while the exact number of casualties is difficult to independently verify. "
"Landslide buries 2 trucks, passenger bus,Scorpio jeep along Narayangadh-Mugling road section,no casualties reported ",casualties,"landslide buries 2 trucks, passenger bus,scorpio jeep along narayangadh-mugling road section,no casualties reported "
"Multiple casualties in shooting in Los Angeles: Reports It was not clear how many people had been injured or killed, or if the suspect was still at large. ",casualties,"multiple casualties in shooting in los angeles: reports it was not clear how many people had been injured or killed, or if the suspect was still at large. "
"Nepal’s Covid-19 toll reaches 75 with two more deaths; 380 new cases confirmed According to the Health Ministry, one man from Kaski and a woman from Parsa are the latest casualties. ",casualties,"nepal’s covid-19 toll reaches 75 with two more deaths; 380 new cases confirmed according to the health ministry, one man from kaski and a woman from parsa are the latest casualties. "
"Firefighters, army work to douse massive fire in Bangladesh market No casualties have been reported so far in the fire, which began early on Tuesday, but army personnel had been called in to help contain the rapidly spreading fire. ",casualties,"firefighters, army work to douse massive fire in bangladesh market no casualties have been reported so far in the fire, which began early on tuesday, but army personnel had been called in to help contain the rapidly spreading fire. "
"Aden hotel used by Yemen government hit by missile, casualties feared  ",casualties,"aden hotel used by yemen government hit by missile, casualties feared  "
"EDITORIAL: Lying with numbers The government has failed so much as to quantify Covid-19 casualties, let alone humanise them. ",casualties,"editorial: lying with numbers the government has failed so much as to quantify covid-19 casualties, let alone humanise them. "
"Meanwhile, no casualties have been reported at Far Western Region, the only region without any quake-related deaths. #NepalEarthquake",casualties,"meanwhile, no casualties have been reported at far western region, the only region without any quake-related deaths. #nepalearthquake"
"Large explosion near Kabul Airport, casualties feared: Police ",casualties,"large explosion near kabul airport, casualties feared: police "
"Even a year after the Chinese handover of Kalanki-Koteshwor road, the government authorities have not added any road safety infrastructure along the eight-lane expressway to prevent the increasing number of road traffic casualties.  — by @AnupOjha7",casualties,"even a year after the chinese handover of kalanki-koteshwor road, the government authorities have not added any road safety infrastructure along the eight-lane expressway to prevent the increasing number of road traffic casualties.  — by @anupojha7"
The storm that cut a swathe through Parsa and Bara districts in the evening had left a trail of destruction--particularly in poor neighbourhoods-- and a large number of casualties in its wake. ,casualties,the storm that cut a swathe through parsa and bara districts in the evening had left a trail of destruction--particularly in poor neighbourhoods-- and a large number of casualties in its wake. 
#Exclusive: Blocked Sunkoshi River bursts decreasing water level by some 12 meters. No casualties reported so far. ,casualties,#exclusive: blocked sunkoshi river bursts decreasing water level by some 12 meters. no casualties reported so far. 
"Nepal reports three more Covid-19-related deaths and 378 new cases Two men from Parsa and Morang and a woman from Kathmandu became the latest casualties, according to the Health Ministry. ",casualties,"nepal reports three more covid-19-related deaths and 378 new cases two men from parsa and morang and a woman from kathmandu became the latest casualties, according to the health ministry. "
The Eighth National Games judo gold medalists Nisha Chaudhary and Pawan Kumar Shrestha were the big casualties as Nepal Judo Association on Sunday finalised a 14-member team for the 13th South Asian Games.  — by @PrajwalOli,casualties,the eighth national games judo gold medalists nisha chaudhary and pawan kumar shrestha were the big casualties as nepal judo association on sunday finalised a 14-member team for the 13th south asian games.  — by @prajwaloli
"There were at least two explosions near Kabul's airport amid a huge and chaotic evacuation effort from Afghanistan on Thursday, the Pentagon said, with civilians and US service members among the casualties of what was described as a “complex attack.” ",casualties,"there were at least two explosions near kabul's airport amid a huge and chaotic evacuation effort from afghanistan on thursday, the pentagon said, with civilians and us service members among the casualties of what was described as a “complex attack.” "
Simrik Air chopper crashes in Sankhuwasabha No casualties have been reported in the incident. ,casualties,simrik air chopper crashes in sankhuwasabha no casualties have been reported in the incident. 
"Several people were injured in a shooting at a FedEx facility in Indianapolis, police said early on Friday, without disclosing any casualties and adding that the shooter had taken his own life. ",casualties,"several people were injured in a shooting at a fedex facility in indianapolis, police said early on friday, without disclosing any casualties and adding that the shooter had taken his own life. "
"A fire destroyed 30 houses at Gharbana settlement in Tajakot Rural Municipality-1, Humla, on Friday night. There were no human casualties, said police #KathmanduPost ",casualties,"a fire destroyed 30 houses at gharbana settlement in tajakot rural municipality-1, humla, on friday night. there were no human casualties, said police #kathmandupost "
7-storey building collapses in Kalanki; No casualties reported ,casualties,7-storey building collapses in kalanki; no casualties reported 
"Fresh tremor hits country, casualties reported; NA rescue teams flown to Dolakha, Ramechhap ",casualties,"fresh tremor hits country, casualties reported; na rescue teams flown to dolakha, ramechhap "
"TKP's new column, State of the State: Constitutional Bodies are are all set to become new casualties after the... ",casualties,"tkp's new column, state of the state: constitutional bodies are are all set to become new casualties after the... "
Police said they have retrieved 16 bodies from the accident site. The number of casualties may rise further. ,casualties,police said they have retrieved 16 bodies from the accident site. the number of casualties may rise further. 
"China Eastern Airlines passenger jet has ‘accident’ in Guangxi, state media says The jet involved in the accident was a Boeing 737 aircraft and the number of casualties was not immediately known, CCTV said. Rescue was on its way, it said. ",casualties,"china eastern airlines passenger jet has ‘accident’ in guangxi, state media says the jet involved in the accident was a boeing 737 aircraft and the number of casualties was not immediately known, cctv said. rescue was on its way, it said. "
Dozens killed in wildlife attacks across the country Government figures show human-wildlife conflicts and casualties are increasing.  — by @CK_Mandal,casualties,dozens killed in wildlife attacks across the country government figures show human-wildlife conflicts and casualties are increasing.  — by @ck_mandal
"Around 27 percent Nepalis indebted due to Covid-19 pandemic: UNICEF report Twelve percent population reports selling assets, seven percent reduced food for children. Six percent lost their jobs, according to the study.  — by @arjunpoudeltkp",COVID-19,"around 27 percent nepalis indebted due to covid-19 pandemic: unicef report twelve percent population reports selling assets, seven percent reduced food for children. six percent lost their jobs, according to the study.  — by @arjunpoudeltkp"
"Nepal logs four new Covid-19 cases According to the Health Ministry, 966,204 infected people have recovered from the disease so far and the number of active cases stands at 479. ",COVID-19,"nepal logs four new covid-19 cases according to the health ministry, 966,204 infected people have recovered from the disease so far and the number of active cases stands at 479. "
"Nepal reports 16 new Covid-19 cases According to the Health Ministry, 967,002 infected people have recovered from the disease so far and the number of active cases stands at 133. ",COVID-19,"nepal reports 16 new covid-19 cases according to the health ministry, 967,002 infected people have recovered from the disease so far and the number of active cases stands at 133. "
"Everything you need to know about the Covid-19 situation in Nepal. Daily updates and insights, we have you covered 👇 ",COVID-19,"everything you need to know about the covid-19 situation in nepal. daily updates and insights, we have you covered 👇 "
"Don’t drop the guard against Covid-19, experts caution after WHO downgrade The pandemic’s ‘global health emergency’ status may be over, but vulnerable groups in Nepal continue to be at risk.  — by @arjunpoudeltkp",COVID-19,"don’t drop the guard against covid-19, experts caution after who downgrade the pandemic’s ‘global health emergency’ status may be over, but vulnerable groups in nepal continue to be at risk.  — by @arjunpoudeltkp"
"Nepal reports 455 new Covid-19 cases Two new deaths were reported in the last 24 hours. Number of active cases stands at 5,435. ",COVID-19,"nepal reports 455 new covid-19 cases two new deaths were reported in the last 24 hours. number of active cases stands at 5,435. "
"Next year, NEFTA awards goes to Texas The award is being organised after a hiatus of two years due to the Covid-19 pandemic. The 10th NEFTA award ceremony was held in Kathmandu in March 2020.  — by Rukusha Giri",COVID-19,"next year, nefta awards goes to texas the award is being organised after a hiatus of two years due to the covid-19 pandemic. the 10th nefta award ceremony was held in kathmandu in march 2020.  — by rukusha giri"
"Chinese drugmakers rushed to make anti-fever medicines and other treatments for Covid-19 on Thursday, after President Xi Jinping said he was worried about an influx of holiday travellers to rural areas ill-equipped to deal with sudden outbreaks. ",COVID-19,"chinese drugmakers rushed to make anti-fever medicines and other treatments for covid-19 on thursday, after president xi jinping said he was worried about an influx of holiday travellers to rural areas ill-equipped to deal with sudden outbreaks. "
"Nepal reports 15 new Covid-19 cases According to the Health Ministry, 966,593 infected people have recovered from the disease so far and the number of active cases stands at 249. ",COVID-19,"nepal reports 15 new covid-19 cases according to the health ministry, 966,593 infected people have recovered from the disease so far and the number of active cases stands at 249. "
"OPINION: Applying the Covid-19 blueprint to cholera We have the tools we need to defeat cholera, but we must still do the research that is required to identify how, when, and where to use them.  — by Md Taufiqul Islam &amp; Firdausi Quadri",COVID-19,"opinion: applying the covid-19 blueprint to cholera we have the tools we need to defeat cholera, but we must still do the research that is required to identify how, when, and where to use them.  — by md taufiqul islam &amp; firdausi quadri"
"Nepal logs 26 new Covid-19 cases According to the Health Ministry, 966,111 infected people have recovered from the disease so far and the number of active cases stands at 554. ",COVID-19,"nepal logs 26 new covid-19 cases according to the health ministry, 966,111 infected people have recovered from the disease so far and the number of active cases stands at 554. "
OPINION: Pandemics and misinformation Misinformation is a common thread between Covid-19 and HIV/AIDS with deadly consequences.  — by Cristian Apetrei,COVID-19,opinion: pandemics and misinformation misinformation is a common thread between covid-19 and hiv/aids with deadly consequences.  — by cristian apetrei
Daraz Summit 2022: Covid-19 accelerated the move to digital financial services Developing and enforcing clearer guidelines about effective disclosure and pricing transparency could help build trust in the financial system.  — by @PrasainKrishana,COVID-19,daraz summit 2022: covid-19 accelerated the move to digital financial services developing and enforcing clearer guidelines about effective disclosure and pricing transparency could help build trust in the financial system.  — by @prasainkrishana
"Nepal reports 487 new Covid-19 cases According to the ministry, 979,938 infected people have recovered from the disease so far. The number of active cases stands at 4,298. ",COVID-19,"nepal reports 487 new covid-19 cases according to the ministry, 979,938 infected people have recovered from the disease so far. the number of active cases stands at 4,298. "
"India asks states to ramp up testing as Covid-19 cases climb Daily new cases have nearly tripled from around 2,000 at the end of March. ",COVID-19,"india asks states to ramp up testing as covid-19 cases climb daily new cases have nearly tripled from around 2,000 at the end of march. "
"Nepal reports five new Covid-19 cases According to the Health Ministry, 967,011 infected people have recovered from the disease so far and the number of active cases stands at 128. ",COVID-19,"nepal reports five new covid-19 cases according to the health ministry, 967,011 infected people have recovered from the disease so far and the number of active cases stands at 128. "
"Nepal reports six new Covid-19 cases According to the Health Ministry, 966,975 infected people have recovered from the disease so far and the number of active cases stands at 141. ",COVID-19,"nepal reports six new covid-19 cases according to the health ministry, 966,975 infected people have recovered from the disease so far and the number of active cases stands at 141. "
"Nepal reports 357 new Covid-19 cases The number of active cases stands at 1,982. ",COVID-19,"nepal reports 357 new covid-19 cases the number of active cases stands at 1,982. "
"Nepal reports six new Covid-19 cases According to the Health Ministry, 966,929 infected people have recovered from the disease so far and the number of active cases stands at 147. ",COVID-19,"nepal reports six new covid-19 cases according to the health ministry, 966,929 infected people have recovered from the disease so far and the number of active cases stands at 147. "
"Pfizer CEO Bourla shows mild symptoms after testing positive for Covid Bourla, 60, said he had started a course of the company’s oral Covid-19 antiviral treatment, Paxlovid, and was isolating and following all public health precautions. ",COVID-19,"pfizer ceo bourla shows mild symptoms after testing positive for covid bourla, 60, said he had started a course of the company’s oral covid-19 antiviral treatment, paxlovid, and was isolating and following all public health precautions. "
Nepal reports 17 new Covid-19 cases The number of active cases stands at 109. ,COVID-19,nepal reports 17 new covid-19 cases the number of active cases stands at 109. 
"Nepal reports 21 new Covid-19 cases According to the Health Ministry, 966,839 infected people have recovered from the disease so far and the number of active cases stands at 187. ",COVID-19,"nepal reports 21 new covid-19 cases according to the health ministry, 966,839 infected people have recovered from the disease so far and the number of active cases stands at 187. "
Nepal reports 34 new Covid-19 cases The number of active cases stands at 104. ,COVID-19,nepal reports 34 new covid-19 cases the number of active cases stands at 104. 
Nepal reports 14 new Covid-19 cases ,COVID-19,nepal reports 14 new covid-19 cases 
"US to end Covid-19 emergency declarations on May 11 Covid-19 cases are declining in the United States, though more than 500 people continue to die each day from the disease, government data showed. ",COVID-19,"us to end covid-19 emergency declarations on may 11 covid-19 cases are declining in the united states, though more than 500 people continue to die each day from the disease, government data showed. "
"Nepal receives 345,600 doses of Pfizer-BioNTech’s bivalent Covid-19 vaccine The health ministry has asked the provincial health agencies to demand vaccine doses to be administered as booster and second booster shots. ",COVID-19,"nepal receives 345,600 doses of pfizer-biontech’s bivalent covid-19 vaccine the health ministry has asked the provincial health agencies to demand vaccine doses to be administered as booster and second booster shots. "
"Nepal reports 110 new Covid-19 cases According to the ministry, 985,103 infected people have recovered from the disease so far. The number of active cases stands at 2,062. ",COVID-19,"nepal reports 110 new covid-19 cases according to the ministry, 985,103 infected people have recovered from the disease so far. the number of active cases stands at 2,062. "
"As dengue becomes endemic to Nepal, infection, mortality risks escalate Experts warn a lethargic approach to taming the disease could spell trouble after the havoc caused by Covid-19.  — by @arjunpoudeltkp",COVID-19,"as dengue becomes endemic to nepal, infection, mortality risks escalate experts warn a lethargic approach to taming the disease could spell trouble after the havoc caused by covid-19.  — by @arjunpoudeltkp"
"Nepal reports 179 new Covid-19 cases According to the ministry, 984,584 infected people have recovered from the disease so far. The number of active cases stands at 2,271. ",COVID-19,"nepal reports 179 new covid-19 cases according to the ministry, 984,584 infected people have recovered from the disease so far. the number of active cases stands at 2,271. "
"Nepal reports 59 new Covid-19 cases According to the ministry, 985,395 infected people have recovered from the disease so far. The number of active cases stands at 1,830. ",COVID-19,"nepal reports 59 new covid-19 cases according to the ministry, 985,395 infected people have recovered from the disease so far. the number of active cases stands at 1,830. "
"Nepal reports 815 new Covid-19 cases Five new deaths were reported in the last 24 hours. Number of active cases stands at 5,869. ",COVID-19,"nepal reports 815 new covid-19 cases five new deaths were reported in the last 24 hours. number of active cases stands at 5,869. "
I earned substantial revenue through my own channel so during the Covid-19 pandemic I need not to worry about my livelihood: Suman #KantipurConclave2022 ,COVID-19,i earned substantial revenue through my own channel so during the covid-19 pandemic i need not to worry about my livelihood: suman #kantipurconclave2022 
"Nepal reports 710 new Covid-19 cases Two new deaths were reported in the last 24 hours. Number of active cases stands at 4,236. ",COVID-19,"nepal reports 710 new covid-19 cases two new deaths were reported in the last 24 hours. number of active cases stands at 4,236. "
"Nepal logs 10 new Covid-19 cases According to the Health Ministry, 966,558 infected people have recovered from the disease so far and the number of active cases stands at 261. ",COVID-19,"nepal logs 10 new covid-19 cases according to the health ministry, 966,558 infected people have recovered from the disease so far and the number of active cases stands at 261. "
"Nepal reports 438 new Covid-19 cases Number of active cases stands at 4,369. ",COVID-19,"nepal reports 438 new covid-19 cases number of active cases stands at 4,369. "
"Nepal reports 888 new Covid-19 cases One new death was reported in the last 24 hours. Number of active cases stands at 5,387. ",COVID-19,"nepal reports 888 new covid-19 cases one new death was reported in the last 24 hours. number of active cases stands at 5,387. "
"Fire at National Federation of Disabled-Nepal’s warehouse under control The federation lost over five dozen new wheelchairs, over 400 crutches, and Covid-19 response equipment to the fire at the warehouse. ",COVID-19,"fire at national federation of disabled-nepal’s warehouse under control the federation lost over five dozen new wheelchairs, over 400 crutches, and covid-19 response equipment to the fire at the warehouse. "
Nepal reports 21 new Covid-19 cases The number of active cases stands at 129. ,COVID-19,nepal reports 21 new covid-19 cases the number of active cases stands at 129. 
"Nepal reports 260 new Covid-19 cases The number of active cases stands at 1,171. ",COVID-19,"nepal reports 260 new covid-19 cases the number of active cases stands at 1,171. "
"Nepal reports 577 new Covid-19 cases Two new deaths were reported in the last 24 hours. Number of active cases stands at 4,356. ",COVID-19,"nepal reports 577 new covid-19 cases two new deaths were reported in the last 24 hours. number of active cases stands at 4,356. "
Nepal reports nine new Covid-19 cases The number of active cases stands at 97. ,COVID-19,nepal reports nine new covid-19 cases the number of active cases stands at 97. 
"Nepal reports 221 new Covid-19 cases According to the ministry, 983,539 infected people have recovered from the disease so far. The number of active cases stands at 2,528. ",COVID-19,"nepal reports 221 new covid-19 cases according to the ministry, 983,539 infected people have recovered from the disease so far. the number of active cases stands at 2,528. "
"Nepal requests additional 1.5m Pfizer-BioNTech’s bivalent vaccine doses First lot of 1.5 million doses of Covid-19 bivalent vaccine will arrive on February 3, officials say.  — by @arjunpoudeltkp",COVID-19,"nepal requests additional 1.5m pfizer-biontech’s bivalent vaccine doses first lot of 1.5 million doses of covid-19 bivalent vaccine will arrive on february 3, officials say.  — by @arjunpoudeltkp"
"Nepal logs seven new Covid-19 cases According to the Health Ministry, 965,847 infected people have recovered from the disease so far and the number of active cases stands at 747. ",COVID-19,"nepal logs seven new covid-19 cases according to the health ministry, 965,847 infected people have recovered from the disease so far and the number of active cases stands at 747. "
"As uptake of Covid-19 vaccines drops, Pfizer doses to be supplied on demand  — by @arjunpoudeltkp",COVID-19,"as uptake of covid-19 vaccines drops, pfizer doses to be supplied on demand  — by @arjunpoudeltkp"
"Thousands of paediatric Covid-19 doses expire As health workers refused to give shelf life-extended jabs to children aged 5 to 11, many are still deprived of shots.  — by @arjunpoudeltkp",COVID-19,"thousands of paediatric covid-19 doses expire as health workers refused to give shelf life-extended jabs to children aged 5 to 11, many are still deprived of shots.  — by @arjunpoudeltkp"
"Whole of Shanghai enters Covid lockdown despite lower symptomatic cases The broader lockdown came after testing saw asymptomatic Covid-19 cases surge to more than 13,000. Symptomatic cases fell on Monday to 268, from 425 the previous day. ",COVID-19,"whole of shanghai enters covid lockdown despite lower symptomatic cases the broader lockdown came after testing saw asymptomatic covid-19 cases surge to more than 13,000. symptomatic cases fell on monday to 268, from 425 the previous day. "
"Nepal reports 814 new Covid-19 cases Number of active cases stands at 5,144. ",COVID-19,"nepal reports 814 new covid-19 cases number of active cases stands at 5,144. "
"Nepal reports 63 new Covid-19 cases According to the ministry, 985,234 infected people have recovered from the disease so far. The number of active cases stands at 1,966. ",COVID-19,"nepal reports 63 new covid-19 cases according to the ministry, 985,234 infected people have recovered from the disease so far. the number of active cases stands at 1,966. "
Nepal receives over 2.2 million paediatric doses of Covid-19 vaccine from COVAX The facility will supply 8.4 million Pfizer doses for the age group. Vaccination will start from June 23.  — by @arjunpoudeltkp,COVID-19,nepal receives over 2.2 million paediatric doses of covid-19 vaccine from covax the facility will supply 8.4 million pfizer doses for the age group. vaccination will start from june 23.  — by @arjunpoudeltkp
The Chinese capital Beijing shut dozens of metro stations and bus routes on Wednesday in its campaign to stop the spread of Covid-19 and avoid the fate of Shanghai where millions of residents have been under strict lockdown for more than a month. ,COVID-19,the chinese capital beijing shut dozens of metro stations and bus routes on wednesday in its campaign to stop the spread of covid-19 and avoid the fate of shanghai where millions of residents have been under strict lockdown for more than a month. 
"Nepal reports 300 new Covid-19 cases According to the ministry, 983,703 infected people have recovered from the disease so far. The number of active cases stands at 2,457. ",COVID-19,"nepal reports 300 new covid-19 cases according to the ministry, 983,703 infected people have recovered from the disease so far. the number of active cases stands at 2,457. "
"India registered about 475,000 more total deaths in 2020 than the previous year, government data released months ahead of schedule on Tuesday showed, as the WHO readies its estimates of excess Covid-19 deaths whose methodology New Delhi has opposed. ",COVID-19,"india registered about 475,000 more total deaths in 2020 than the previous year, government data released months ahead of schedule on tuesday showed, as the who readies its estimates of excess covid-19 deaths whose methodology new delhi has opposed. "
"Multidimensional poverty slumped in Nepal before Covid-19, global report says Earlier, a national report had warned that the Covid-19 pandemic could disrupt the past gains.  — by @journoprithvi",COVID-19,"multidimensional poverty slumped in nepal before covid-19, global report says earlier, a national report had warned that the covid-19 pandemic could disrupt the past gains.  — by @journoprithvi"
Nepal reports 43 new Covid-19 cases The number of active cases stands at 181. ,COVID-19,nepal reports 43 new covid-19 cases the number of active cases stands at 181. 
"Asian Development Bank scales down growth forecast for Nepal to 4.1 percent Tighter monetary policy, slackened demand, unwinding of Covid-19 stimulus and global headwinds caused downturn, it said. ",COVID-19,"asian development bank scales down growth forecast for nepal to 4.1 percent tighter monetary policy, slackened demand, unwinding of covid-19 stimulus and global headwinds caused downturn, it said. "
"OPINION: The pandemic years Covid-19 exposed a deep divide in how people perceive pandemics, science and vaccination.  — by @sujeevshakya",COVID-19,"opinion: the pandemic years covid-19 exposed a deep divide in how people perceive pandemics, science and vaccination.  — by @sujeevshakya"
Nepal reports 16 new Covid-19 cases The number of active cases stands at 109. ,COVID-19,nepal reports 16 new covid-19 cases the number of active cases stands at 109. 
OPINION: How China won the battle against Covid-19 The Chinese government has provided hundreds of billions of anti-pandemic materials to 153 countries.  — by @PRCAmbNepal,COVID-19,opinion: how china won the battle against covid-19 the chinese government has provided hundreds of billions of anti-pandemic materials to 153 countries.  — by @prcambnepal
"Nepal reports 229 new Covid-19 cases The number of active cases stands at 1,284. ",COVID-19,"nepal reports 229 new covid-19 cases the number of active cases stands at 1,284. "
"Nepal reports 638 new Covid-19 cases Two new deaths were reported in the last 24 hours. Number of active cases stands at 3,714. ",COVID-19,"nepal reports 638 new covid-19 cases two new deaths were reported in the last 24 hours. number of active cases stands at 3,714. "
"Nepal reports 620 new Covid-19 cases One new death was reported in the last 24 hours. Number of active cases stands at 4,369. ",COVID-19,"nepal reports 620 new covid-19 cases one new death was reported in the last 24 hours. number of active cases stands at 4,369. "
"Nepal logs 17 new Covid-19 cases According to the Health Ministry, 962,582 infected people have recovered from the disease so far and the number of active cases stands at 3,595. ",COVID-19,"nepal logs 17 new covid-19 cases according to the health ministry, 962,582 infected people have recovered from the disease so far and the number of active cases stands at 3,595. "
"Nepal reports 13 new Covid-19 cases According to the Health Ministry, 966,823 infected people have recovered from the disease so far and the number of active cases stands at 185. ",COVID-19,"nepal reports 13 new covid-19 cases according to the health ministry, 966,823 infected people have recovered from the disease so far and the number of active cases stands at 185. "
"Growing food shortages may represent the same health threat to the world as the Covid-19 pandemic, a leading global health figure has warned. ",COVID-19,"growing food shortages may represent the same health threat to the world as the covid-19 pandemic, a leading global health figure has warned. "
"Nepal logs 21 new Covid-19 cases According to the Health Ministry, 965,142 infected people have recovered from the disease so far and the number of active cases stands at 1,254. ",COVID-19,"nepal logs 21 new covid-19 cases according to the health ministry, 965,142 infected people have recovered from the disease so far and the number of active cases stands at 1,254. "
"Nepal reports 553 new Covid-19 cases Number of active cases stands at 5,659. ",COVID-19,"nepal reports 553 new covid-19 cases number of active cases stands at 5,659. "
"Nepal reports 152 new Covid-19 cases According to the ministry, 984,082 infected people have recovered from the disease so far. The number of active cases stands at 2,448. ",COVID-19,"nepal reports 152 new covid-19 cases according to the ministry, 984,082 infected people have recovered from the disease so far. the number of active cases stands at 2,448. "
"Nepal reports 1090 new Covid-19 cases Two new deaths were reported in the last 24 hours. Number of active cases stands at 5,806. ",COVID-19,"nepal reports 1090 new covid-19 cases two new deaths were reported in the last 24 hours. number of active cases stands at 5,806. "
